區名,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中壢,"7,989,554","7,795,747","7,164,135","6,997,256","6,960,167","7,198,130","7,813,770","7,515,936","6,840,648","7,141,837","6,803,884","7,173,375"
湖口,"18,488,286","21,821,153","18,686,804","18,083,657","17,902,008","18,249,493","20,423,861","20,891,774","18,151,770","18,871,099","19,205,249","19,321,258"
泰安,"28,832,198","35,079,978","27,975,445","27,662,887","25,673,106","26,007,940","29,732,971","31,272,214","25,173,464","26,557,087","25,984,993","26,042,402"
西螺,"31,745,442","37,054,371","29,169,540","29,031,568","28,904,164","29,769,747","33,209,715","32,946,871","27,956,159","28,315,363","27,769,956","28,515,956"
新營,"15,359,607","18,909,277","14,457,445","14,831,571","15,195,722","15,542,120","17,338,310","16,734,129","14,680,870","14,835,038","14,822,763","14,863,563"
仁德,"13,376,043","15,335,356","12,568,714","12,240,982","12,725,958","13,350,615","13,493,368","14,066,850","12,491,769","13,360,211","13,697,540","13,573,512"
關西,"27,759,380","35,499,242","25,875,726","24,476,419","24,120,972","24,617,572","30,295,552","33,684,223","25,695,358","27,586,015","27,816,008","27,291,786"
西湖,"18,918,736","26,741,637","18,785,864","18,776,779","17,779,347","18,150,903","21,177,177","21,906,044","18,545,447","19,860,180","18,311,745","10,790,986"
清水,"55,299,182","73,435,173","52,048,827","52,618,733","48,884,448","53,375,326","64,298,463","65,758,209","46,041,845","41,523,501","27,954,929","27,600,586"
南投,"16,628,640","23,037,634","14,450,646","12,428,298","8,918,962","9,737,820","15,684,083","17,849,159","17,630,756","17,771,809","18,950,085","17,914,092"
古坑,"16,560,528","24,679,302","16,781,368","15,902,420","14,995,286","17,177,077","20,705,786","19,777,877","15,903,062","16,765,527","16,368,872","16,072,455"
東山,"29,112,968","39,932,954","29,271,235","26,807,422","26,549,559","30,855,311","36,234,869","35,255,150","26,747,296","28,358,276","27,558,071","25,557,009"
關廟,"5,425,595","9,155,614","5,263,782","5,069,675","5,160,921","5,864,490","8,301,873","7,666,469","5,552,300","5,918,953","4,202,763","3,913,978"
石碇,"4,806,914","6,191,858","4,533,766","4,655,389","4,916,648","5,501,722","7,041,805","7,235,564","5,047,701","5,295,144","5,020,661","4,875,505"
