"Year","ScenicSpots","January","February","March","April","May","June","July","August","September","October","November","December","Total"
"104","林本源園邸","44820","44198","34209","40214","39353","29550","34856","30662","27964","40779","43828","35799","446232"
"104","碧潭風景特定區","120000","154000","93300","140000","118850","167000","138000","91640","93000","135000","122055","129000","1501845"
"104","新北市立鶯歌陶瓷博物館","85177","76951","68343","106135","90282","127698","138154","125541","76160","97091","91613","70118","1153263"
"104","鶯歌老街","51648","63895","49245","48091","50046","52433","52380","50180","50276","54970","53648","51568","628380"
"104","清水祖師廟","1930","3401","957","1074","1826","1015","1453","1060","1420","1964","1467","1226","18793"
"104","新北市客家文化園區","70371","70837","79264","69599","80197","83166","92585","98219","70204","82133","69813","71436","937824"
"104","三峽老街","205000","300000","183000","168000","162000","145000","147000","138000","146000","159000","167000","173000","2093000"
"104","三峽區大板根森林溫泉度假村","18297","21984","15517","17049","19557","16916","18316","15532","18990","20925","22045","20901","226029"
"104","三峽區歷史文物館","6582","2785","5108","7506","5370","4519","4175","3992","2863","6118","6570","7584","63172"
"104","淡水漁人碼頭","242116","265826","237810","255094","260757","231683","279398","281050","264080","274120","277622","253951","3123507"
"104","淡水紅毛城","160516","170249","85697","91990","78392","70797","82217","85384","82081","112357","104548","94579","1218807"
"104","滬尾炮臺","16606","18195","17455","15997","17708","14954","14266","13553","13930","21099","22212","18421","204396"
"104","前清淡水關稅務司官邸","33832","35061","29661","27251","24527","21554","22076","21554","24295","27189","24538","23185","314723"
"104","淡水金色水岸","210000","410000","265000","289000","259000","246000","280000","300000","246230","320409","268401","275736","3369776"
"104","瑞芳風景特定區","328170","379140","326600","310455","299100","333615","348000","413555","337500","420180","452740","306600","4255655"
"104","猴硐煤礦園區","66830","97577","56584","77811","73287","82220","77044","74489","53765","65650","60100","57630","842987"
"104","新北市立黃金博物園區","194184","201927","147569","186403","176082","143388","171690","164400","161836","195360","224981","178484","2146304"
"104","水湳洞遊客中心","59215","66502","57809","65787","54787","67238","82123","92765","64900","67000","58391","47285","783802"
"104","坪林茶業博物館","0","0","0","0","0","0","0","6635","29102","31016","28339","21136","116228"
"104","八仙海岸","9369","10623","6007","3775","7925","37333","0","0","0","0","0","0","75032"
"104","新北市立十三行博物館","62471","88113","52235","164202","89334","46503","67218","73227","66873","115491","104506","51128","981301"
"104","八里左岸公園","145000","368000","218000","265000","240000","205000","269000","230000","268000","461964","418024","204512","3292500"
"104","十分旅遊服務中心","367803","744425","349165","320000","280000","285200","357300","234000","231000","234390","228400","223840","3855523"
"104","十分瀑布","217169","243728","205615","212455","174590","207482","215994","205000","210460","212543","205300","195000","2505336"
"104","朱銘美術館","10057","10559","7179","12644","12595","10293","18150","16916","9940","16002","2118","74","126527"
"104","法鼓山世界佛教教育園區","29180","59094","23083","23022","20759","14856","16258","14413","16450","22245","35229","23657","298246"
"104","烏來風景特定區","134473","250765","107063","97000","92453","101210","105650","25553","31500","65000","91020","85000","1186687"
"104","雲仙樂園","17523","26796","15085","20254","19721","14497","19363","4580","653","946","3303","3648","146369"
"105","林本源園邸","30872","39877","24266","28308","24018","17581","19666","20037","17296","25994","23771","30460","302146"
"105","碧潭風景特定區","121135","154790","93470","140300","118900","167410","138700","95040","94500","135200","123000","232000","1614445"
"105","新北市立鶯歌陶瓷博物館","65353","74422","53012","101126","77478","131618","69966","51872","30479","43350","35393","33208","767277"
"105","鶯歌老街","51040","58547","49486","45630","49316","52342","52145","54771","50791","57065","54110","52086","627329"
"105","清水祖師廟","2101","3622","1063","1352","1079","1183","1605","1472","1087","1621","1496","1247","18928"
"105","新北市客家文化園區","75033","77327","72953","80403","83626","76369","97831","91839","72578","75464","67437","67358","938218"
"105","三峽老街","135000","305000","169000","157000","139000","129000","113000","127000","139000","153000","174000","175000","1915000"
"105","三峽區大板根森林溫泉度假村","20140","15096","12289","17457","17122","14193","18266","16070","15736","22122","18511","19836","206838"
